Pause Before,Size,Left Span,Right Span,Weight,RL Ratio,WS Ratio
1981,2,1,2,1,2.0,0.5
6084,3,2,2,2,1.0,0.6666666666666666
1279,4,3,2,2,0.6666666666666666,0.5
1716,1,1,1,1,1.0,1.0
3806,2,1,2,1,2.0,0.5
2184,1,1,1,1,1.0,1.0
827,2,2,2,2,1.0,1.0
5507,2,2,1,1,0.5,0.5
1389,3,3,1,1,0.3333333333333333,0.3333333333333333
3026,4,4,1,1,0.25,0.25
1154,4,1,4,1,4.0,0.25
2465,3,1,3,1,3.0,0.3333333333333333
1077,2,1,2,1,2.0,0.5
1170,3,2,2,2,1.0,0.6666666666666666
1295,4,3,2,2,0.6666666666666666,0.5
1669,1,1,1,1,1.0,1.0
718,2,1,2,1,2.0,0.5
2043,3,2,2,2,1.0,0.6666666666666666
1311,4,3,2,2,0.6666666666666666,0.5
390,2,2,2,2,1.0,1.0
1435,3,3,2,2,0.6666666666666666,0.6666666666666666
904,4,4,2,2,0.5,0.5
593,1,1,1,1,1.0,1.0
483,2,2,1,1,0.5,0.5
10172,5,1,5,1,5.0,0.19999999999999998
6428,6,2,5,2,2.5,0.3333333333333333
2043,10,3,8,3,2.6666666666666665,0.3
812,9,3,7,3,2.333333333333333,0.3333333333333333
936,9,4,7,4,1.75,0.4444444444444444
920,10,5,7,4,1.4,0.39999999999999997
920,11,6,7,4,1.1666666666666665,0.3636363636363636
3728,9,5,7,4,1.4,0.4444444444444444
1248,10,6,7,4,1.1666666666666665,0.39999999999999997
5663,11,7,7,4,1.0,0.3636363636363636
2028,9,5,7,4,1.4,0.4444444444444444
8549,10,6,7,4,1.1666666666666665,0.39999999999999997
4244,11,7,7,4,1.0,0.3636363636363636
9392,8,4,6,3,1.5,0.375
921,7,3,5,2,1.6666666666666665,0.2857142857142857
546,8,4,5,2,1.25,0.25
1732,5,2,5,2,2.5,0.39999999999999997
2933,5,2,5,2,2.5,0.39999999999999997
4571,6,3,5,2,1.6666666666666665,0.3333333333333333
2652,5,2,5,2,2.5,0.39999999999999997
9064,6,3,5,2,1.6666666666666665,0.3333333333333333
14352,7,4,5,2,1.25,0.2857142857142857
1560,5,2,5,2,2.5,0.39999999999999997
1872,6,3,5,2,1.6666666666666665,0.3333333333333333
1232,4,1,4,1,4.0,0.25
1607,5,2,4,2,2.0,0.39999999999999997
1154,6,3,4,2,1.3333333333333333,0.3333333333333333
1232,7,4,4,2,1.0,0.2857142857142857
390,5,2,5,2,2.5,0.39999999999999997
7129,6,3,5,3,1.6666666666666665,0.5
1279,7,4,5,3,1.25,0.42857142857142855
453,5,3,5,3,1.6666666666666665,0.6
7659,4,2,4,2,2.0,0.5
437,5,3,4,2,1.3333333333333333,0.39999999999999997
2059,6,4,4,2,1.0,0.3333333333333333
16833,7,5,4,2,0.7999999999999999,0.2857142857142857
983,8,6,4,2,0.6666666666666666,0.25
499,4,2,4,2,2.0,0.5
718,5,3,4,2,1.3333333333333333,0.39999999999999997
2059,5,2,5,2,2.5,0.39999999999999997
2278,4,2,4,2,2.0,0.5
12683,5,3,4,2,1.3333333333333333,0.39999999999999997
874,6,4,4,2,1.0,0.3333333333333333
4025,3,1,3,1,3.0,0.3333333333333333
1435,4,2,3,2,1.5,0.5
952,5,3,3,2,1.0,0.39999999999999997
562,6,4,3,2,0.75,0.3333333333333333
11232,3,2,3,2,1.5,0.6666666666666666
718,4,3,3,2,1.0,0.5
1420,2,1,2,1,2.0,0.5
328,3,2,2,2,1.0,0.6666666666666666
780,4,3,2,2,0.6666666666666666,0.5
1201,4,2,4,2,2.0,0.5
609,3,2,3,2,1.5,0.6666666666666666
4477,3,3,3,3,1.0,1.0
374,4,4,3,3,0.75,0.75
562,2,2,2,2,1.0,1.0
671,3,3,2,2,0.6666666666666666,0.6666666666666666
593,4,4,2,2,0.5,0.5
4212,2,2,2,2,1.0,1.0
12558,1,1,1,1,1.0,1.0
2434,1,1,1,1,1.0,1.0
1482,2,2,1,1,0.5,0.5
1014,1,1,1,1,1.0,1.0
1529,2,1,2,1,2.0,0.5
1482,3,2,2,2,1.0,0.6666666666666666
2231,1,1,1,1,1.0,1.0
671,3,1,3,1,3.0,0.3333333333333333
765,2,1,2,1,2.0,0.5
1107,1,1,1,1,1.0,1.0
593,2,2,1,1,0.5,0.5
1794,3,3,1,1,0.3333333333333333,0.3333333333333333
765,1,1,1,1,1.0,1.0
1060,2,2,1,1,0.5,0.5
1919,3,3,1,1,0.3333333333333333,0.3333333333333333
52448,1,1,1,1,1.0,1.0
920,2,2,1,1,0.5,0.5
2324,1,1,1,1,1.0,1.0
2262,2,2,1,1,0.5,0.5
1435,1,1,1,1,1.0,1.0
19141,2,1,2,1,2.0,0.5
3651,3,2,2,2,1.0,0.6666666666666666
6505,2,2,2,2,1.0,1.0
2231,2,2,2,2,1.0,1.0
2247,3,3,2,2,0.6666666666666666,0.6666666666666666
11638,3,2,3,2,1.5,0.6666666666666666
7972,4,3,3,3,1.0,0.75
23978,2,2,2,2,1.0,1.0
7426,3,3,2,2,0.6666666666666666,0.6666666666666666
967,4,4,2,2,0.5,0.5
13619,2,2,2,2,1.0,1.0
44430,3,3,2,2,0.6666666666666666,0.6666666666666666
2730,2,2,2,2,1.0,1.0
1248,3,3,2,2,0.6666666666666666,0.6666666666666666
17379,1,1,1,1,1.0,1.0
14009,1,1,1,1,1.0,1.0
4212,2,2,1,1,0.5,0.5
14040,2,1,2,1,2.0,0.5
874,3,2,2,2,1.0,0.6666666666666666
3260,3,2,3,2,1.5,0.6666666666666666
3011,4,3,3,3,1.0,0.75
5678,2,2,2,2,1.0,1.0
2277,3,3,2,2,0.6666666666666666,0.6666666666666666
3744,4,4,2,2,0.5,0.5
2293,1,1,1,1,1.0,1.0
8720,1,1,1,1,1.0,1.0
2200,4,1,4,1,4.0,0.25
16411,3,1,3,1,3.0,0.3333333333333333
6302,4,2,3,2,1.5,0.5
2106,5,3,3,2,1.0,0.39999999999999997
531,6,4,3,2,0.75,0.3333333333333333
1528,7,5,3,2,0.6,0.2857142857142857
4322,8,6,3,2,0.5,0.25
3775,2,1,2,1,2.0,0.5
8283,3,2,2,2,1.0,0.6666666666666666
7363,4,3,2,2,0.6666666666666666,0.5
7535,2,2,2,2,1.0,1.0
6896,3,3,2,2,0.6666666666666666,0.6666666666666666
437,4,4,2,2,0.5,0.5
6567,5,5,2,2,0.39999999999999997,0.39999999999999997
1935,2,2,2,2,1.0,1.0
2200,3,3,2,2,0.6666666666666666,0.6666666666666666
1981,4,4,2,2,0.5,0.5
2247,1,1,1,1,1.0,1.0
2309,1,1,1,1,1.0,1.0
8378,2,2,2,2,1.0,1.0
670,3,3,2,2,0.6666666666666666,0.6666666666666666
7863,3,2,2,2,1.0,0.6666666666666666
3978,4,3,2,2,0.6666666666666666,0.5
1451,5,4,2,2,0.5,0.39999999999999997
4477,2,2,1,1,0.5,0.5
5678,3,3,2,2,0.6666666666666666,0.6666666666666666
4415,3,3,1,1,0.3333333333333333,0.3333333333333333
1872,5,4,2,2,0.5,0.39999999999999997
26427,4,4,1,1,0.25,0.25
1436,1,1,1,1,1.0,1.0
6801,2,2,1,1,0.5,0.5
25599,3,1,3,1,3.0,0.3333333333333333
2605,4,2,3,2,1.5,0.5
1357,3,2,3,2,1.5,0.6666666666666666
2231,4,3,3,2,1.0,0.5
8221,2,1,2,1,2.0,0.5
4727,3,2,2,2,1.0,0.6666666666666666
4773,5,3,3,3,1.0,0.6
2715,6,4,3,3,0.75,0.5
17098,4,3,2,2,0.6666666666666666,0.5
4804,5,4,2,2,0.5,0.39999999999999997
11591,3,2,3,2,1.5,0.6666666666666666
4742,4,3,3,3,1.0,0.75
6677,5,4,3,3,0.75,0.6
1716,2,2,2,2,1.0,1.0
2340,3,3,2,2,0.6666666666666666,0.6666666666666666
4930,4,4,2,2,0.5,0.5
10826,1,1,1,1,1.0,1.0
2028,1,1,1,1,1.0,1.0
3666,3,1,3,1,3.0,0.3333333333333333
12792,4,2,3,2,1.5,0.5
1545,2,1,2,1,2.0,0.5
2387,3,2,2,2,1.0,0.6666666666666666
3666,4,3,2,2,0.6666666666666666,0.5
2262,2,2,2,2,1.0,1.0
905,3,3,2,2,0.6666666666666666,0.6666666666666666
2637,4,4,2,2,0.5,0.5
2371,1,1,1,1,1.0,1.0
14976,2,2,1,1,0.5,0.5
2793,2,1,2,1,2.0,0.5
1357,3,2,2,2,1.0,0.6666666666666666
5367,4,3,2,2,0.6666666666666666,0.5
5694,5,4,2,2,0.5,0.39999999999999997
5662,1,1,1,1,1.0,1.0
655,1,1,1,1,1.0,1.0
9422,2,2,1,1,0.5,0.5
3058,4,1,4,1,4.0,0.25
1248,5,2,4,2,2.0,0.39999999999999997
2527,6,3,4,2,1.3333333333333333,0.3333333333333333
1981,3,1,3,1,3.0,0.3333333333333333
1950,3,2,3,2,1.5,0.6666666666666666
1388,4,3,3,2,1.0,0.5
2933,3,2,3,2,1.5,0.6666666666666666
3900,4,3,3,2,1.0,0.5
5132,2,1,2,1,2.0,0.5
749,3,2,2,2,1.0,0.6666666666666666
4275,4,3,2,2,0.6666666666666666,0.5
3011,5,4,2,2,0.5,0.39999999999999997
1592,1,1,1,1,1.0,1.0
609,1,1,1,1,1.0,1.0
593,2,2,1,1,0.5,0.5
22667,2,1,2,1,2.0,0.5
1092,3,2,2,2,1.0,0.6666666666666666
9578,4,3,2,2,0.6666666666666666,0.5
15007,2,2,2,2,1.0,1.0
2153,3,3,2,2,0.6666666666666666,0.6666666666666666
1623,4,4,2,2,0.5,0.5
7660,1,1,1,1,1.0,1.0
141,1,1,1,1,1.0,1.0
3370,1,1,1,1,1.0,1.0
796,2,2,1,1,0.5,0.5
140,3,3,1,1,0.3333333333333333,0.3333333333333333
140,3,1,3,1,3.0,0.3333333333333333
110,4,2,3,2,1.5,0.5
203,5,3,3,2,1.0,0.39999999999999997
1591,3,2,3,2,1.5,0.6666666666666666
109,4,3,3,2,1.0,0.5
936,2,1,2,1,2.0,0.5
